"movieCd","movieNm","openDt","typeNm","nationAlt","genreAlt","directors","showTm","userRating"
20090914,"하모니","20100128","장편","KR","드라마","강대규","115","9.05"
20123681,"뽀로로 극장판 슈퍼썰매 대모험","20130123","장편","KR","애니메이션","박영균","77","8.6"
20194621,"아직 사랑하고 있습니까?","20191204","장편","KR","코미디","신양중","99","7.66"
20181164,"카센타","20191127","장편","KR","범죄,코미디","하윤재","97","7.24"
20196781,"우리를 갈라놓는 것들","20191128","장편","KR","다큐멘터리","임흥순","99","7.72"
20195083,"너의 여자친구","20191204","장편","KR","코미디,멜로/로맨스,드라마","이장희","99","7.99"
20196655,"존 윅 3: 파라벨룸","20190626","장편","US","액션,범죄,스릴러","채드 스타헬스키","131","8.01"
20184133,"어제 일은 모두 괜찮아","20191121","장편","KR","드라마","이성한","107","8.77"
20196284,"윤희에게","20191114","장편","KR","멜로/로맨스","임대형","104","8.99"
20181205,"영하의 바람","20191114","장편","KR","드라마","김유리","110","8.4"
20187322,"힘을 내요, 미스터 리","20190911","장편","KR","코미디,드라마","이계벽","110","7.68"
20196285,"오만","20190905","장편","KR","드라마","지일주","118","8.29"
20196705,"집 이야기","20191128","장편","KR","드라마","박제범","92","9.04"
20183072,"어멍","20191121","장편","KR","드라마","고훈","95","9.83"
20183144,"선종 무문관","20181213","장편","KR","드라마","윤용진","81","8.8"
20194191,"본 투 드라이브 ","20191212","장편","ETC","다큐멘터리","다니엘 파레","92","9"
20191371,"디아스포라의 노래 : 아리랑 로드 ","20191212","장편","KR","다큐멘터리","이규철","85","8.88"
20193928,"나의 노래는 멀리멀리","20191003","장편","KR","다큐멘터리","현진식","83","9.53"
20195920,"가장 보통의 연애","20191002","장편","KR","멜로/로맨스,코미디","김한결","109","7.72"
20183041,"삼촌","20191128","장편","KR","미스터리,스릴러","김형진","100","7.7"
20181434,"신의 한 수: 귀수편","20191107","장편","KR","범죄,액션","리건","106","7.77"
20189647,"동물, 원","20190905","장편","KR","다큐멘터리","왕민철","97","8.72"
20188121,"수퍼 디스코","20191128","장편","KR","다큐멘터리","이주호","90","9.28"
20181114,"라스트 씬","20191212","장편","KR","다큐멘터리","박배일","89","7.11"
20199781,"지금 이순간","20191212","장편","KR","드라마","이수성","88","7.68"
20181087,"호흡","20191219","장편","KR","드라마","권만기","103","7.02"
20196405,"극장판 타오르지마 버스터-블랙어썰트의 귀환","20191205","장편","KR","코미디,애니메이션,액션,어드벤처","조영광","73","9.56"
20145141,"위플래쉬","20150312","장편","US","드라마","데이미언 셔젤","106","7.92"
20153982,"에이미","20151105","장편","GB","다큐멘터리","아시프 카파디아","127","8.84"
19818004,"불의 전차","20160616","장편","GB","드라마","휴 허드슨","123","8.26"
20151229,"더 킹","20170118","장편","KR","범죄,드라마","한재림","134","8.09"
20148807,"엣지 오브 투모로우","20140604","장편","US","액션,SF","더그 라이만","113","9.91"
20154427,"불온한 당신","20170720","장편","KR","다큐멘터리","이영","99","8.82"
20136062,"하이힐","20140603","장편","KR","범죄,액션","장진","124","7.78"
20161589,"죽여주는 여자","20161006","장편","KR","드라마","이재용","110","8.74"
