,movieCd,movieNm,openDt,typeNm,nationAlt,genreAlt,directors
0,20090914,하모니,20100128,장편,한국,드라마,[{'peopleNm': '강대규'}]
1,20123681,뽀로로 극장판 슈퍼썰매 대모험,20130123,장편,한국,애니메이션,[{'peopleNm': '박영균'}]
2,20194621,아직 사랑하고 있습니까?,20191204,장편,한국,코미디,[{'peopleNm': '신양중'}]
3,20181164,카센타,20191127,장편,한국,"범죄,코미디",[{'peopleNm': '하윤재'}]
4,20196781,우리를 갈라놓는 것들,20191128,장편,한국,다큐멘터리,[{'peopleNm': '임흥순'}]
5,20195083,너의 여자친구,20191204,장편,한국,"코미디,멜로/로맨스,드라마",[{'peopleNm': '이장희'}]
6,20196655,존 윅 3: 파라벨룸,20190626,장편,미국,"액션,범죄,스릴러",[{'peopleNm': '채드 스타헬스키'}]
7,20184341,얼굴없는 보스,20191121,장편,한국,"액션,드라마",[{'peopleNm': '송창용'}]
8,20184133,어제 일은 모두 괜찮아,20191121,장편,한국,드라마,[{'peopleNm': '이성한'}]
9,20196284,윤희에게,20191114,장편,한국,멜로/로맨스,[{'peopleNm': '임대형'}]
10,20181205,영하의 바람,20191114,장편,한국,드라마,[{'peopleNm': '김유리'}]
11,20187322,"힘을 내요, 미스터 리",20190911,장편,한국,"코미디,드라마",[{'peopleNm': '이계벽'}]
12,20195041,폐교,20190905,장편,한국,"공포(호러),미스터리",[{'peopleNm': '최효원'}]
13,20196285,오만,20190905,장편,한국,드라마,[{'peopleNm': '지일주'}]
14,20198981,우리 누나 친구 무삭제,20191024,장편,한국,멜로/로맨스,[{'peopleNm': '김부곤'}]
15,20193625,며느리의 남자 무삭제,20191031,장편,한국,멜로/로맨스,[{'peopleNm': '김환'}]
16,20199564,접전: 갑을 전쟁,20191121,장편,한국,코미디,[{'peopleNm': '지성원'}]
17,20196705,집 이야기,20191128,장편,한국,드라마,[{'peopleNm': '박제범'}]
18,20183072,어멍,20191121,장편,한국,드라마,[{'peopleNm': '고훈'}]
19,20183144,선종 무문관,20181213,장편,한국,드라마,[{'peopleNm': '윤용진'}]
20,20194191,본 투 드라이브 ,20191212,장편,노르웨이,다큐멘터리,[{'peopleNm': '다니엘 파레'}]
21,20191371,디아스포라의 노래 : 아리랑 로드 ,20191212,장편,한국,다큐멘터리,[{'peopleNm': '이규철'}]
22,20185201,아빠는 예쁘다,20191121,장편,한국,"가족,코미디","[{'peopleNm': '박수민'}, {'peopleNm': '김승협'}]"
23,20193928,나의 노래는 멀리멀리,20191003,장편,한국,다큐멘터리,[{'peopleNm': '현진식'}]
24,20195920,가장 보통의 연애,20191002,장편,한국,"멜로/로맨스,코미디",[{'peopleNm': '김한결'}]
25,20191029,82년생 김지영,20191023,장편,한국,드라마,[{'peopleNm': '김도영'}]
26,20183041,삼촌,20191128,장편,한국,"미스터리,스릴러",[{'peopleNm': '김형진'}]
27,20181434,신의 한 수: 귀수편,20191107,장편,한국,"범죄,액션",[{'peopleNm': '리건'}]
28,20181096,마왕의 딸 이리샤,20190926,장편,한국,애니메이션,[{'peopleNm': '장형윤'}]
29,20189647,"동물, 원",20190905,장편,한국,다큐멘터리,[{'peopleNm': '왕민철'}]
30,20196732,헤로니모,20191121,장편,"한국,미국",다큐멘터리,[{'peopleNm': '전후석'}]
31,20190164,더하우스,20191212,장편,한국,"스릴러,미스터리,공포(호러)",[{'peopleNm': '박균이'}]
32,20188121,수퍼 디스코,20191128,장편,한국,다큐멘터리,[{'peopleNm': '이주호'}]
33,20191546,월성,20191212,장편,한국,다큐멘터리,"[{'peopleNm': '남태제'}, {'peopleNm': '김성환'}]"
34,20181114,라스트 씬,20191212,장편,한국,다큐멘터리,[{'peopleNm': '박배일'}]
35,20195561,행동하는 양심 김대중,20191128,장편,한국,다큐멘터리,[{'peopleNm': '신상민'}]
36,20181109,녹차의 중력,20191128,장편,한국,다큐멘터리,[{'peopleNm': '정성일'}]
37,20199781,지금 이순간,20191212,장편,한국,드라마,[{'peopleNm': '이수성'}]
38,20181087,호흡,20191219,장편,한국,드라마,[{'peopleNm': '권만기'}]
39,20196405,극장판 타오르지마 버스터-블랙어썰트의 귀환,20191205,장편,한국,"코미디,애니메이션,액션,어드벤처",[{'peopleNm': '조영광'}]
40,20100788,마법천자문: 대마왕의 부활을 막아라,20100819,장편,한국,애니메이션,[{'peopleNm': '윤영기'}]
41,20145141,위플래쉬,20150312,장편,미국,드라마,[{'peopleNm': '데이미언 셔젤'}]
42,20153982,에이미,20151105,장편,영국,다큐멘터리,[{'peopleNm': '아시프 카파디아'}]
43,20182985,섹스 인 더 게임 ,20180328,장편,한국,,[{'peopleNm': '신성진'}]
44,20167628,캡틴 판타스틱,20161130,장편,미국,드라마,[{'peopleNm': '매트 로스'}]
45,19818004,불의 전차,20160616,장편,영국,드라마,[{'peopleNm': '휴 허드슨'}]
46,20151229,더 킹,20170118,장편,한국,"범죄,드라마",[{'peopleNm': '한재림'}]
47,20124082,미스터 고,20130717,장편,"한국,중국","코미디,드라마",[{'peopleNm': '김용화'}]
48,20148807,엣지 오브 투모로우,20140604,장편,미국,"액션,SF",[{'peopleNm': '더그 라이만'}]
49,20154427,불온한 당신,20170720,장편,한국,다큐멘터리,[{'peopleNm': '이영'}]
50,20136062,하이힐,20140603,장편,한국,"범죄,액션",[{'peopleNm': '장진'}]
51,20161589,죽여주는 여자,20161006,장편,한국,드라마,[{'peopleNm': '이재용'}]
52,20168362,극장판 울려라! 유포니엄,20160901,장편,일본,"애니메이션,드라마",[{'peopleNm': '이시하라 타츠야'}]
53,20149714,보이 앤 더 월드,20160804,장편,브라질,애니메이션,[{'peopleNm': '알레 아브레우'}]
54,20177365,필동,20180809,장편,한국,판타지,[{'peopleNm': '필동'}]
55,20198414,시동,20191218,장편,한국,드라마,[{'peopleNm': '최정열'}]
56,20174442,뷰티풀 데이즈,20181121,장편,"한국,프랑스",드라마,[{'peopleNm': '윤재호'}]
57,20194446,룸싸롱 : 맛있는 서비스 2,20190930,장편,한국,멜로/로맨스,[{'peopleNm': '김성종'}]
58,20136926,프란시스 하,20140717,장편,미국,"코미디,멜로/로맨스",[{'peopleNm': '노아 바움백'}]
59,20100061,땅의 여자,20100909,장편,한국,다큐멘터리,[{'peopleNm': '권우정'}]
60,20178641,빅풋 주니어,20170809,장편,"벨기에,프랑스","애니메이션,어드벤처,가족","[{'peopleNm': '제레미 드그루손'}, {'peopleNm': '벤 스타센'}]"
61,20147693,원 챈스,20140313,장편,"영국,미국","코미디,드라마",[{'peopleNm': '데이빗 프랭클'}]
62,20180321,기생 : 꽃의 고백,20180125,장편,한국,다큐멘터리,"[{'peopleNm': '홍태선'}, {'peopleNm': '임혁'}]"
63,20188824,60일의 썸머,20181025,장편,한국,드라마,[{'peopleNm': '김희영'}]
64,20181103,벌새,20190829,장편,한국,드라마,[{'peopleNm': '김보라'}]
65,20112692,드라이브,20111117,장편,미국,"액션,멜로/로맨스",[{'peopleNm': '니콜라스 윈딩 레픈'}]
66,20149663,"님프, 피의 요정",20150807,장편,세르비아,"공포(호러),판타지",[{'peopleNm': '밀란 토도로빅'}]
67,20193275,브링 더 소울 : 더 무비,20190807,장편,한국,기타,[{'peopleNm': '박준수'}]
68,20184462,봉오동 전투,20190807,장편,한국,"사극,액션,드라마",[{'peopleNm': '원신연'}]
69,20194921,100일 동안 100가지로 100퍼센트 행복찾기,20190912,장편,독일,코미디,[{'peopleNm': '플로리안 데이비드 핏츠'}]
